0,steering wheel control,steering wheel control
1,audio modality,audio modality
2,body motion analysis,body motion analysis
3,eeg,eeg
4,respiration sensor,respiration sensor
4,pressure-based respiration sensor,respiration sensor
5,eye status analysis,eye status analysis
5,eye condition analysis,eye status analysis
6,head angle,head angle
7,video analytics,video analytics
8,face landmark algorithm,face landmark algorithm
8,face landmark coordinates,face landmark algorithm
9,image-based,image-based
9,image-based data,image-based
9,vision-based,image-based
10,vehicle motion data,vehicle motion data
10,vehicle dynamics data,vehicle motion data
10,motion data,vehicle motion data
10,vehicle trajectory data,vehicle motion data
11,eye blink,eye blink
11,eye blink counts,eye blink
11,eye blinking,eye blink
12,lane deviation,lane deviation
12,lane deviation monitoring,lane deviation
13,heartbeat,heartbeat
13,heartbeat signals,heartbeat
14,infrared technology,infrared technology
15,facial element analysis,facial components analysis
15,facial components,facial components analysis
15,facial components analysis,facial components analysis
16,eye movement,eye movement
16,eye dynamics,eye movement
16,eye movement behavior imagery,eye movement
16,eye motion,eye movement
17,self-rated fatigue and sleepiness,self-rated fatigue and sleepiness
18,radar sensor,radar sensor
19,mouth state feature,mouth state feature
20,behavioral analysis,behavioral analysis
20,behavioral measures,behavioral analysis
21,skin conduction,skin conduction
21,skin conductance (sc),skin conduction
22,shannon entropy,shannon entropy
23,hand acceleration,hand acceleration
24,saccade velocity,saccade velocity
24,saccade amplitude,saccade velocity
25,srnet-fr,srnet-fr
26,geometric features,geometric features
27,usb camera,usb camera
28,blood oxygen saturation,blood oxygen saturation
28,oxygen saturation,blood oxygen saturation
28,blood oxygen level,blood oxygen saturation
29,body temperature,body temperature
30,perclos-80,perclos-80
30,perclos,perclos-80
30,perclos p80,perclos-80
31,closing eyes rate,closing eyes rate
32,driving behavior,driving behavior
32,driving behavior variables,driving behavior
33,pressure,pressure
34,pupillary light reflex,pupillary light reflex
34,pupillary reflex,pupillary light reflex
35,lf/hf,lf/hf
35,lf,lf/hf
35,hf,lf/hf
36,tracking performance,tracking performance
37,obd unit,obd unit
37,obd-ii,obd unit
38,environmental data,environmental data
39,physiological data readings,physiological data readings
40,pvt,pvt
41,head movement estimation,head movement estimation
41,head pose estimation,head movement estimation
41,head movement monitoring,head movement estimation
42,image recognition,image recognition
43,self-touching hand motion,self-touching hand motion
44,subjective self-assessment surveys,subjective self-assessment surveys
45,heart rate data,heart rate data
45,heart rate monitoring,heart rate data
46,viola-jones method,viola-jones method
46,viola-jones algorithm,viola-jones method
47,proximity sensor,proximity sensor
47,distance sensor,proximity sensor
48,task performance,task performance
49,facial feature,facial feature
50,wrist actigraphy,wrist actigraphy
50,actigraphy,wrist actigraphy
51,electrooculography,electrooculography
51,electrooculography (eog),electrooculography
52,motion sensor,motion sensor
53,breath rate,breath rate
53,breathing rate,breath rate
54,photopletismographic,photopletismographic
55,sdlat,sdlat
56,emd,emd
57,psychomotor vigilance task (pvt-b),psychomotor vigilance tests (pvt)
57,psychomotor vigilance test,psychomotor vigilance tests (pvt)
57,psychomotor vigilance tests (pvt),psychomotor vigilance tests (pvt)
58,clock,clock
59,polysomnogram,polysomnogram
60,electrocardiography,electrocardiography
60,electrocardiogram,electrocardiography
60,capacitive electrocardiography,electrocardiography
61,yawning frequency,yawning frequency
61,dynamic threshold value for yawning,yawning frequency
61,yawning detection,yawning frequency
61,yawning duration,yawning frequency
62,video camera,video camera
63,facial analysis,facial analysis
63,facial features analysis,facial analysis
