title,abstract,correlations
Implementation of baby boomer hepatitis C screening and linking to care in gastroenterology practices: a multi-center pilot study,"Background: Estimates suggest that only 20 % of HCV-infected patients have been identified and <10 % treated. However, baby boomers (1945-1965) are identified as having a higher prevalence of HCV which has led the Centers for Disease Control and Prevention to make screening recommendations. The aim of this study was to implement the CDC's screening recommendations in the unique setting of gastroenterology practices in patients previously unscreened for HCV.Methods: After obtaining patient informed consent, demographics, clinical and health-related quality of life (HRQOL) data were collected. A blood sample was screened for HCV antibody (HCV AB) using the OraQuick HCV Rapid Antibody Test. HCV AB-positive patients were tested for presence of HCV RNA and, if HCV RNA positive, patients underwent treatment discussions.Results: We screened 2,000 individuals in 5 gastroenterology centers located close to large metropolitan areas on the East Coast (3 Northeast, 1 Mid-Atlantic and 1 Southeast). Of the screened population, 10 individuals (0.5 %) were HCV AB-positive. HCV RNA testing was performed in 90 % (9/10) of HCV AB-positive individuals. Of those, 44.4 % (4/9) were HCV RNA-positive, and all 4 (100 %) were linked to caregiver. Compared to HCV AB negative subjects, HCV AB-positive individuals tended to be black (20.0 vs. 5.2 %, p = 0.09) and reported significantly higher rates of depression: 60.0 vs. 21.5 %, p = 0.009. These individuals also reported a significantly lower HRQOL citing having more fatigue, poorer concentration, and a decreased level of energy (p < 0.05).Discussion: Although the prevalence of HCV AB-positive was low in previously unscreened subjects screened in the gastroenterology centers, the linkage to care was very high. The sample of patients used in this study may be biased, so further studies are needed to assess the effectiveness of the CDC screening recommendations.Conclusion: Implementation of the Baby Boomer Screening for HCV requires identifying screening environement with high prevalence of HCV+ individuals as well as an efficient process of linking them to care.",0
A multi-facet approach to functional and ergonomic assessment of passive exoskeletons,"Seeing the innovative character of exoskeletal devices, it appears that there is yet progress to be made in adopting exoskeletons to industry, and to the different users' characteristics and needs. Their validation is mainly focused on technological aspects and seldom researchers presented methodological approaches including both physical and cognitive impact on operators, synergically with functional issues. This study proposes a multi-faced approach to investigate the impact of passive exoskeletons on functional and ergonomic aspects providing a preliminary experimental validation with an industrial task. The approach assesses the physical comfort, muscular fatigue, cognitive workload, and users' technological acceptance, to map the overall user experience (UX). Participants were monitored by a mechanomyogram (MMG) and a motion capture (MoCap) system and a UX questionnaire was administered. Results demonstrated the effectiveness of passive exoskeletons regarding the specific task being strictly related to a correct definition of the level of assistance for each user. (c) 2024 The Authors. Published by Elsevier B.V",0
Combating Threat-Alert Fatigue with Online Anomaly Detection Using Isolation Forest,"The threat-alert fatigue problem, which is the inability of security operators to genuinely investigate each alert coming from network-based intrusion detection systems, causes many unexplored alerts and hence a deterioration of the quality of service. Motivated by this pressing need to reduce the number of threat-alerts presented to security operators for manual investigation, we propose a scheme that can triage alerts of significance from massive threat-alert logs. Thanks to the fully unsupervised nature of the adopted isolation forest method, the proposed scheme does not require any prior labeling information and thus is readily adaptable for most enterprise environments. Moreover, by taking advantage of the temporal information in the alerts, it can be used in an online mode that takes in the most recent information from past alerts and predicts the incoming ones. We evaluated the performance of our scheme using a 10-month dataset consisting of more than half a million alerts collected in a real-world enterprise environment and found that it could screen out 87.41% of the alerts without missing any single significant ones. This study demonstrates the efficacy of unsupervised learning in screening minor threat-alerts and is expected to shed light on the threat-alert fatigue problem.",0
"Osteomuscular symptoms on motorcycles in the city of Rio Branco, Acre, Brazil, West Amazon","Musculoskeletal disorders gradually affect workers in different parts of the world, compromising their occupational health and quality of life. Professionals exposed to these symptoms include the motorcycle taxi driver, whose pain is due to the overuse of the musculoskeletal system and little time to recover it. To identify the prevalence of musculoskeletal symptoms in motorcycle taxi drivers in the city of Rio Branco, Acre, Brazil, West Amazon. Cross-sectional study, involving 296 motorcycle taxi drivers in the city of Rio Branco-Acre, Brazil, male, from December 2016 to February 2017. The Nordic Musculoskeletal Questionnaire was used to collect information related to symptoms (pain, discomfort, or numbness) in the last 7 days of work. For the exclusion criteria were, being female; not reside outside the city of Rio Branco, Acre; having less than 3 months of work activity; not be carrying out their work activities at the time of application of the protocol; be limited by clinical or physical issues at the time of application of the protocol. The data obtained in the questionnaire were entered into the Epidata program (Epidata Association, Odense, Denmark) and then transferred to the STATA 10 statistical program (Stata Corp., College Station), for categorization and statistical analysis. The study population is over 36 years old; most reported having a partner and a higher education level. The average daily working hours of the participants were 12 hours, with the majority working over 12 hours daily. Most of the epidemiological variables factors were associated with musculoskeletal pain when the prevalence and prevalence ratio analyzes were performed. Higher prevalence of musculoskeletal symptoms in the lumbar region is with 17.9%. In the lower limbs, the most affected joint was the ankle (5.7%), followed by the hip (5.07%) and knee (5.07%), respectively. Insomnia was present in 55.35% and self-reported headache in 49.4% of participants. The musculoskeletal disorders generated by the daily service of motorcycle taxi drivers are directly affecting the quality of life of these professionals.",0
"Knowledge Gaps, Challenges, and Opportunities in Health and Prevention Research for Asian Americans, Native Hawaiians, and Pacific Islanders: A Report From the 2021 National Institutes of Health Workshop","Asian Americans (AsA), Native Hawaiians, and Pacific Islanders (NHPI) comprise 7.7% of the U.S. population, and AsA have had the fastest growth rate since 2010. Yet the National Institutes of Health (NIH) has invested only 0.17% of its budget on AsA and NHPI research between 1992 and 2018. More than 40 ethnic subgroups are included within AsA and NHPI (with no majority subpopulation), which are highly diverse culturally, demographically, linguistically, and socioeconomically. However, data for these groups are often aggregated, masking critical health disparities and their drivers. To address these issues, in March 2021, the National Heart, Lung, and Blood Institute, in partnership with 8 other NIH institutes, convened a multidisciplinary workshop to review current research, knowledge gaps, opportunities, barriers, and approaches for prevention research for AsA and NHPI populations. The workshop covered 5 domains: 1) sociocultural, environmental, psychological health, and lifestyle dimensions; 2) metabolic disorders; 3) cardiovascular and lung diseases; 4) cancer; and 5) cognitive function and healthy aging. Two recurring themes emerged: Very limited data on the epidemiology, risk factors, and outcomes for most conditions are available, and most existing data are not disaggregated by subgroup, masking variation in risk factors, disease occurrence, and trajectories. Leveraging the vast phenotypic differences among AsA and NHPI groups was identified as a key opportunity to yield novel clues into etiologic and prognostic factors to inform prevention efforts and intervention strategies. Promising approaches for future research include developing collaborations with community partners, investing in infrastructure support for cohort studies, enhancing existing data sources to enable data disaggregation, and incorporating novel technology for objective measurement. Research on AsA and NHPI subgroups is urgently needed to eliminate disparities and promote health equity in these populations.",0
Choice of Health Options In prevention of Cardiovascular Events for people with Atrial Fibrillation (CHOICE-AF): A pilot study,"Background: Atrial fibrillation (AF), the most common cardiac arrhythmia, is associated with high risk of stroke and significant health burden. Recent emerging evidence suggests that modifying risk factor profiles of people with AF may assist to reduce stroke risk and health burden.Aims: The purpose of this study was to test the feasibility of a brief telephone-based program targeted at improving cardiovascular risk, and health-related quality of life (HRQoL) in patients with AFMethods: This was a pilot study of a brief three-month telephone-based intervention for patients with diagnosed AF. During an initial face-to-face consultation participants were assisted to set individualized risk factor reduction goals and a treatment plan. Participants received phone-based follow-up for three months, with final assessment at three months.Results: Nineteen participants with AF were recruited, with age range 35-82 years (mean 6513 years) and 53% were male. No changes were observed in either body mass index (BMI) or waist circumference measures. Participation was associated with significant improvement in reported symptom severity (p=0.005). There were non-significant improvements in physical activity, sedentary behavior, HRQoL, anxiety and depression.Conclusions: Participation in the CHOICE-AF pilot study did not improve BMI or waist circumference: however, it was associated with significant improvement in reported symptom severity. Further research is required to determine the most appropriate model of care for addressing risk factor management for people with AF.",0
Employer-mandated obstructive sleep apnea treatment and healthcare cost savings among truckers,"Objective: To evaluate the effect of an employer-mandated obstructive sleep apnea (OSA) diagnosis and treatment program on non-OSA-program trucker medical insurance claim costs.Methods: Retrospective cohort analysis; cohorts constructed by matching (randomly, with replacement) Screen-positive Controls (drivers with insurance screened as likely to have OSA, but not yet diagnosed) with Diagnosed drivers (n = 1,516; cases = 1,224, OSA Negatives = 292), on two factors affecting exposure to medical claims: experience level at hire and weeks of job tenure at the Diagnosed driver's polysomnogram (PSG) date (the matching date). All cases received auto-adjusting positive airway pressure (APAP) treatment and were grouped by objective treatment adherence data: any Positive Adherence (n = 932) versus No Adherence (n = 292). Bootstrap resampling produced a difference-in-differences estimate of aggregate non-OSA-program medical insurance claim cost savings for 100 Diagnosed drivers as compared to 100 Screen-positive Controls before and after the PSG/matching date, over an 18-month period. A two-part multivariate statistical model was used to set exposures and demographics/anthropometrics equal across sub-groups, and to generate a difference-in-differences comparison across periods that identified the effect of OSA treatment on per-member per-month (PMPM) costs of an individual driver, separately from cost differences associated with adherence choice.Results: Eighteen-month non-OSA-program medical claim costs savings from diagnosing (and treating as required) 100 Screen-positive Controls: $153,042 (95% CI: -$5,352, $330,525). Model-estimated effect of treatment on those adhering to APAP: -$441 PMPM (95% CI: -$861, -$21).Conclusions: Results suggest a carrier-based mandatory OSA program generates substantial savings in non-OSA-program medical insurance claim costs.",0
Effects of navigation method on workload and performance in simulated high-speed ship navigation,"This study examines mental workload and performance in simulated high-speed ship navigation. Two navigation methods were compared based oil ail electronic chart display and information system (ECDIS) and a conventional System using paper charts. Twenty naval cadets navigated in high-fidelity Simulators through a 50 nautical Mile Course with varying levels of difficulty. Results showed that ECDIS navigation significantly improved course-keeping performance, but reduced the total amount Of Communication oil the bridge. No differences were observed in subjective workload between groups. Heart rate variability and skin conductance Measurements indicated higher workload in conventional navigation, but the differences between groups were not significant. (C) 2008 Elsevier Ltd. All rights reserved.",0
The impact of water cleaning on boiler tube life,"Water cleaning of boiler walls has proven effective at removing PRB coal ash from them. But the procedure has a big downside: repeated doses of thermal stress that can cause boiler tubes to crack and leak. A new, real-time hardware/software tool can help cleaning system operators maximize the effectiveness of the process while minimizing the cumulative negative impact of cyclic stress.",0
An Anatomically Based Analysis of Objectively Measured Pediatric Snoring: A Pilot Study,"Objective To assess pediatric habitual snoring (PS) using home sleep test (HST) technology and attempt to correlate the objective components of PS to specific upper airway anatomy. In addition, the effects of adenotonsillectomy ( turbinoplasty) on objective measures of PS were evaluated.Study Design Prospective cohort study.Setting Tertiary medical center.Subjects and Methods Pediatric patients with a chief complaint of snoring and probable obstructive sleep apnea underwent an HST (SNAP Diagnostics, Wheeling, Illinois) with a detailed acoustical snoring analysis prior to adenotonsillectomy ( turbinoplasty). During surgery, detailed anatomical measurements were performed and correlated to snoring analysis results. After surgery, patients were offered another HST with snoring analysis. Data analysis was performed using descriptive statistics and statistical correlation with attention to the multiple-comparisons paradox.Results Twenty-two patients (45% male; mean age, 5.4 years [range, 2.4-8.4 years]) completed the preoperative HST and operative measurements. Unlike typical adult snoring, only a minority of PS was from palatal flutter (mean palatal component, 24%; median, 10%). The resistance occurrence percentage (ROP, percentage of breathing events with snoring noise) was associated with body mass index (BMI; Spearman = 0.55; P = .017), subjective turbinate size (0.54; P = .032), palatal obstruction (0.63; P = .008), and mean oxygen saturation (-0.729; P = .0003) but not adenotonsillar hypertrophy. Twelve patients (54%) completed a postoperative HST. The ROP was significantly reduced (median, 20.5% vs 6.5%; P = .006, sign rank test) postoperatively. The magnitude of the ROP reduction was proportional to the volume of the removed tonsils (0.74; P = .022).Conclusion Pediatric snoring has different acoustical characteristics than adult snoring. Objective PS is associated with BMI, turbinate size, and palatal obstruction. Adenotonsillectomy (+/- turbinoplasty) may significantly reduce objective PS.",0
