title,abstract,structured_text,Accuracy,Completeness
Associating Vehicles Automation With Drivers Functional State Assessment Systems: A Challenge for Road Safety in the Future,"In the near future, vehicles will gradually gain more autonomous functionalities. Drivers' activity will be less about driving than about monitoring intelligent systems to which driving action will be delegated. Road safety, therefore, remains dependent on the human factor and we should identify the limits beyond which driver's functional state (DFS) may no longer be able to ensure safety. Depending on the level of automation, estimating the DFS may have different targets, e.g., assessing driver's situation awareness in lower levels of automation and his ability to respond to emerging hazard or assessing driver's ability to monitor the vehicle performing operational tasks in higher levels of automation. Unfitted DFS (e.g., drowsiness) may impact the driver ability respond to taking over abilities. This paper reviews the most appropriate psychophysiological indices in naturalistic driving while considering the DFS through exogenous sensors, providing the more efficient trade-off between reliability and intrusiveness. The DFS also originates from kinematic data of the vehicle, thus providing information that indirectly relates to drivers behavior. The whole data should be synchronously processed, providing a diagnosis on the DFS, and bringing it to the attention of the decision maker in real time. Next, making the information available can be permanent or intermittent (or even undelivered), and may also depend on the automation level. Such interface can include recommendations for decision support or simply give neutral instruction. Mapping of relevant psychophysiological and behavioral indicators for DFS will enable practitioners and researchers provide reliable estimates, fitted to the level of automation.","{'operator type': ['driver'], 'data acquisition methods': ['physiological data acquisition', 'equipment-based data acquisition']}",8,6
Data fusion for driver drowsiness recognition: A multimodal perspective,"Drowsiness is characterized by decreased alertness and an increased inclination to fall asleep, typically from factors such as fatigue, sleep deprivation, or other related influences. In the context of driving, drowsiness poses substantial safety risks. The detection of driver drowsiness is of paramount importance in ensuring road safety, contributing to a significant number of accidents worldwide. Utilizing AI for drowsiness detection offers a potent solution to enhance road safety by identifying driver fatigue and preventing potential accidents. The proposed system addresses the challenge of detecting driver drowsiness using a WACHSens dataset collected from both manual and automated driving modes, encompassing rested and fatigued states. Various data sources, including vehicle-related information, facial expressions, and bio signals are employed to create a robust drowsiness detection system. A novel approach that leverages Convolutional Neural Networks (CNNs) and Long Short-Term Memory (LSTM) networks to effectively detect drowsiness in drivers and achieve a 96 % accuracy level. It helps in enhancing road safety by devising effective drowsiness detection mechanisms, potentially preventing accidents and saving lives. Recall, accuracy, f1-score, and precision are the performance metrics to measure the drowsiness condition.","{'operator type': ['driver'], 'data acquisition methods': ['equipment-based', 'behavioral', 'physiological']}",7,5
EEG index for control operators' mental fatigue monitoring using interactions between brain regions,"Mental fatigue is a gradual and cumulative phenomenon induced by the time spent on a tedious but mentally demanding task, which is associated with a decrease in vigilance. It may be dangerous for operators controlling air traffic or monitoring plants. An index that estimates this state on-line from EEG signals recorded in 6 brain regions is proposed. It makes use of the Frobenius distance between the EEG spatial covariance matrices of each of the 6 regions calculated on 20 s epochs to a mean covariance matrix learned during an initial reference state. The index is automatically tuned from the learning set for each subject. Its performance is analyzed on data from a group of 15 subjects who performed for 90 min an experiment that modulates mental workload. It is shown that the index based on the alpha band is well correlated with an ocular index that measures external signs of mental fatigue and can accurately assess mental fatigue over long periods of time. (C) 2016 Elsevier Ltd. All rights reserved.","{'operator type': ['operator'], 'data acquisition methods': ['eeg', 'ocular index']}",6,5
Validating Photoplethysmography (PPG) data for driver drowsiness detection,"Drowsiness is one of the first casualty factors of car accidents. A large number of studies have been conducted to reduce the risk of car accidents and, many of them, are based on the detection of biological signals to determine driver drowsiness. In this way, several prototypes have been proposed but all of them are efficient in specific scenarios only. Photoplethysmography (PPG) is a non-invasive tool that allows monitoring heart activity, it is also used to evaluate driver drowsiness. This paper introduces a prototype based on PPG signals able to improve current systems in terms of evaluation time and results clearness. We performed a measurement campaign to compare experimental data with literature. The goal is to validate the prototype.","{'operator type': ['driver'], 'data acquisition methods': ['ppg']}",7,6
Detecting Soldiers' Fatigue Using Eye-Tracking Glasses: Practical Field Applications and Research Opportunities,"Introduction Objectively determining soldiers' fatigue levels could help prevent injuries or accidents resulting from inattention or decreased alertness. Eye-tracking technologies, such as optical eye tracking (OET) and electrooculography (EOG), are often used to monitor fatigue. Eyeblinks-especially blink frequency and blink duration-are known as easily observable and valid biomarkers of fatigue. Currently, various eye trackers (i.e., eye-tracking glasses) are available on the market using either OET or EOG technologies. These wearable eye trackers offer several advantages, including unobtrusive functionality, practicality, and low costs. However, several challenges and limitations must be considered when implementing these technologies in the field to monitor fatigue levels. This review investigates the feasibility of eye tracking in the field focusing on the practical applications in military operational environments. Materials and Method This paper summarizes the existing literature about eyeblink dynamics and available wearable eye-tracking technologies, exposing challenges and limitations, as well as discussing practical recommendations on how to improve the feasibility of eye tracking in the field. Results So far, no eye-tracking glasses can be recommended for use in a demanding work environment. First, eyeblink dynamics are influenced by multiple factors; therefore, environments, situations, and individual behavior must be taken into account. Second, the glasses' placement, sunlight, facial or body movements, vibrations, and sweat can drastically decrease measurement accuracy. The placement of the eye cameras for the OET and the placement of the electrodes for the EOG must be chosen consciously, the sampling rate must be minimal 200 Hz, and software and hardware must be robust to resist any factors influencing eye tracking. Conclusion Monitoring physiological and psychological readiness of soldiers, as well as other civil professionals that face higher risks when their attention is impaired or reduced, is necessary. However, improvements to eye-tracking devices' hardware, calibration method, sampling rate, and algorithm are needed in order to accurately monitor fatigue levels in the field.","{'operator type': ['none'], 'data acquisition methods': ['optical eye tracking (oet)', 'electrooculography (eog)']}",9,9
Driver-Condition Detection Using a Thermal Imaging Camera and Neural Networks,"Autonomous vehicles aim to improve driving safety and comfort. In autonomous car SAE level-3 operations, it is necessary to determine whether the driving authority can be transferred from the computer to the driver. The driver must be awake and sufficiently alert to switch to manual driving operation. Physiological measurement methods require sensors that are in contact with the human body. These sensors are annoying, frustrating, and inconvenient for the driver. The purpose of this study is to determine a driver's condition using eye-closing time and yawning frequency by a visible-light camera and a thermal camera. Eye-closings and yawns were detected using an appropriate non-contact detector with a visible camera and thermal camera. When a visible-light camera was used, the driver state recognition rate was 90 % or higher when the driver's surroundings were brightly lit, but the recognition rate decreased significantly to approximately 4 % when the surroundings were dark. Using a thermal camera, the face recognition rate was 74 % under bright and dark conditions. For the thermal images, DLib and OpenCV could be performed well. Therefore, the DLib and thermal image combination could be used for a reliable driver drowsiness detection task.","{'operator type': ['driver'], 'data acquisition methods': ['visible-light camera', 'thermal camera']}",9,6
Effects of long and short simulated flights on the saccadic eye movement velocity of aviators,"Aircrew fatigue is a major contributor to operational errors in civil and military aviation. Objective detection of pilot fatigue is thus critical to prevent aviation catastrophes. Previous work has linked fatigue to changes in oculomotor dynamics, but few studies have studied this relationshipin critical safety environments. Here we measured the eye movements of US Marine Corps combat helicopter pilots before and after simulated flight missions of different durations. We found a decrease in saccadic velocities after long simulated flights compared to short simulated flights. These results suggest that saccadic velocity could serve as a biomarker of aviator fatigue. (C) 2015 Elsevier Inc All rights reserved.","{'operator type': ['pilot'], 'data acquisition methods': ['eye movement tracking']}",10,9
Drowsiness Detection by Bayesian-Copula Discriminant Classifier Based on EEG Signals During Daytime Short Nap,"Objective: Daytime short nap involves individual physiological states including alertness and drowsiness. In order to have a better understanding of the periodical rhymes of physiological states and then promote a good interpretability of alertness, the aim of this study is to detect drowsiness during daytime short nap. Methods: A method of Bayesian-copula discriminant classifier (BCDC) was introduced to detect individual drowsiness based on the physiological features extracted from electroencephalogram (EEG) signals. As an extension of traditional Bayesian decision theory, the BCDC method tries to construct the class-conditional probability density functions by exploiting the theory of copula and kernel density estimation. Results: The proposed BCDC method was validated with experimental dataset and compared with other traditional methods for drowsiness detection. The obtained results showed that our method outperformed other methods in terms of three evaluation criteria. Conclusion: Our proposed method is effective to detect drowsiness with superior performance. Additionally, the BCDC method is relatively robust to different parameter settings on the group-level dataset. Significance: The proposed method is likely to be a useful tool to improve the correctness of the estimated class-conditional probability density functions. Since features are extracted from spontaneous EEG recordings, the results of this study can be further generalized to other experimental environment to detect vigilance level or driver drowsiness.","{'operator type': ['driver'], 'data acquisition methods': ['eeg']}",7,6
Drowsiness monitoring based on steering wheel status,"Drowsy driving is one of the main causes of road traffic accidents. It is of great significance to study the use of steering wheel status to detect the drowsiness of the driver. In the studies of the steering wheel state, there is a general problem of the parameter selection being not comprehensive and individual differences in the way of the controlling of the steering wheel not being considered. A driving simulator was used to collect eleven parameters related to the steering wheel, where four parameters having significant correlations with driver status were selected using variance analysis. A multilevel ordered logit (MOL) model, support vector machine (SVM) model and BP neural network (BP) model were built based on the selection of the parameters. Under the same conditions of classification, the recognition accuracy of the MOL model was shown to be much higher than that of the two other models. It was concluded that the MOL model using the steering wheel parameters and considering differences among individuals outperforms the others in terms of driver's state recognition.","{'operator type': ['driver'], 'data acquisition methods': ['equipment-based data acquisition']}",7,5
System and Method for Driver Drowsiness Detection Using Behavioral and Sensor-Based Physiological Measures,"The amount of road accidents caused by driver drowsiness is one of the world's major challenges. These accidents lead to numerous fatal and non-fatal injuries which impose substantial financial strain on individuals and governments every year. As a result, it is critical to prevent catastrophic accidents and reduce the financial burden on society caused by driver drowsiness. The research community has primarily focused on two approaches to identify driver drowsiness during the last decade: intrusive and non-intrusive. The intrusive approach includes physiological measures, and the non-intrusive approach includes vehicle-based and behavioral measures. In an intrusive approach, sensors are used to detect driver drowsiness by placing them on the driver's body, whereas in a non-intrusive approach, a camera is used for drowsiness detection by identifying yawning patterns, eyelid movement and head inclination. Noticeably, most research has been conducted in driver drowsiness detection methods using only single measures that failed to produce good outcomes. Furthermore, these measures were only functional in certain conditions. This paper proposes a model that combines the two approaches, non-intrusive and intrusive, to detect driver drowsiness. Behavioral measures as a non-intrusive approach and sensor-based physiological measures as an intrusive approach are combined to detect driver drowsiness. The proposed hybrid model uses AI-based Multi-Task Cascaded Convolutional Neural Networks (MTCNN) as a behavioral measure to recognize the driver's facial features, and the Galvanic Skin Response (GSR) sensor as a physiological measure to collect the skin conductance of the driver that helps to increase the overall accuracy. Furthermore, the model's efficacy has been computed in a simulated environment. The outcome shows that the proposed hybrid model is capable of identifying the transition from awake to a drowsy state in the driver in all conditions with the efficacy of 91%.","{'operator type': ['driver'], 'data acquisition methods': ['galvanic skin response (gsr)', 'facial features']}",7,6
